short_description,date_posted,post_time_hour_24h,day_of_week,niche_category,content_format,content_format_clean,hook_style,trending_sound_used,video_duration_seconds,views,likes,comments,shares,saves_or_favorites,engagement_rate,performance_label,followers_gained,watch_time_percentage,avg_watch_time_seconds,hashtag_1,hashtag_2,hashtag_3,total_hashtag_count
Cost breakdown you need - Visa application checklist,31/01/2026,11:10,Saturday,Visa Application Tips,text_overlay,text_overlay,Statistic,0,42.12,162383,8637,1563,1020,263,0.070716,High,11,11.77%,4.68,visatips,visa,visatips,3
How to: 3 documents you must not forget,26/01/2026,14:53,Monday,Visa Application Tips,text_overlay,text_overlay,Tutorial,0,28.35,68920,3576,658,337,350,0.071402,High,7,23.73%,6.03,travelvisa,immigration,creatorsearchinsight,5
Save money on baggage fees?,02/12/2025,14:13,Tuesday,Travel Hacks,voiceover,voiceover,Question,1,31.3,250892,10541,1756,1916,1491,0.062593,High,14,28.19%,9.39,traveltips,cheapflights,traveltips,5
How to: Visa application checklist,22/01/2026,08:10,Thursday,Visa Application Tips,text_overlay,text_overlay,Tutorial,0,33.86,131184,5495,1521,1038,1499,0.072821,High,10,21.95%,8.54,visaguide,travelvisa,workvisa,3
Important update - Hotel booking trick,11/01/2026,22:41,Sunday,Travel Hacks,text_overlay,text_overlay,Dramatic,1,14.12,52107,1544,335,281,299,0.047191,Medium,3,26.45%,3.15,traveltips,cheapflights,workvisa,3
My experience: Packing hack that saves space,02/12/2025,20:53,Tuesday,Travel Hacks,voiceover,voiceover,Story,0,42.7,228657,9659,2262,1280,1391,0.063816,High,19,24.86%,11.77,packinghacks,travelhacks,visa,5
How to: Travel hack for long layovers,13/01/2026,13:06,Tuesday,Travel Hacks,text_overlay,text_overlay,Tutorial,1,34.95,70917,3791,925,467,52,0.073819,High,4,28.77%,8.57,budgettravel,traveltips,workvisa,5
Common visa rejection reasons?,13/12/2025,10:24,Saturday,Visa Application Tips,voiceover,voiceover,Question,1,32.66,398134,17618,2047,1689,4064,0.063843,High,11,25.31%,8.82,visa,visaguide,visa,3
Save up to 40% on fees - Save money on baggage fees,03/01/2026,11:13,Saturday,Travel Hacks,text_overlay,text_overlay,Statistic,0,7.47,109739,3956,1043,546,52,0.051003,Medium,8,21.60%,1.0,cheapflights,packinghacks,travel,3
How to: Travel hack for long layovers,05/11/2025,10:00,Wednesday,Travel Hacks,text_overlay,text_overlay,Tutorial,1,59.71,30299,1263,242,283,17,0.059573,Medium,1,11.58%,8.15,cheapflights,budgettravel,creatorsearchinsight,3
How to: Visa interview questions to prepare for,15/01/2026,07:41,Thursday,Visa Application Tips,voiceover,voiceover,Tutorial,0,12.09,63320,2523,705,279,372,0.06126,High,3,21.47%,2.35,visatips,immigration,workvisa,5
My experience: Save money on baggage fees,27/12/2025,13:18,Saturday,Travel Hacks,screen_recording,screen_recording,Story,0,55.89,50612,2000,368,381,27,0.054849,Medium,3,10.01%,5.54,packinghacks,traveltips,travel,4
How to: Hidden gems you should not miss,06/11/2025,18:18,Thursday,Destination Guides,text_overlay,text_overlay,Tutorial,0,58.26,45552,1815,463,429,25,0.059975,Medium,4,15.21%,7.54,thingstodo,destination,thingstodo,4
My experience: How much it costs to travel here,01/12/2025,15:58,Monday,Budget Travel,voiceover,voiceover,Story,1,58.29,89215,4120,517,254,91,0.055843,Medium,6,13.59%,8.4,travelonabudget,traveltips,relocation,3
Approval rate tips - Hidden gems you should not miss,24/01/2026,12:53,Saturday,Destination Guides,voiceover,voiceover,Statistic,1,12.13,157347,4678,725,831,455,0.042511,Medium,7,17.44%,2.1,destination,thingstodo,visa,3
